"FSC","SSC","CD16 AF488","FL2-A","CD14-PE","CD42a-PerCP","CCR2-APC"
546,105,9.08004,0,9.24485,2.62437,9.84564
865,851,322.763,0,4.58382,5.79149,17.8267
904,1023,415.216,0,4.70936,3.76102,4.50226
810,751,462.556,0,1.93312,1.60039,29.502
758,969,693.364,0,5.38997,2.82057,14.2384
796,671,705.974,0,2.09626,2.02218,15.3012
462,68,4.30488,0,2.44268,5.34208,1.00265
40,666,1349.18,873,3114.23,5342.27,9910.46
511,102,96.7283,0,7.8652,8.76163,6.51146
444,120,94.1565,0,7.51959,4.79602,3.28715
40,669,1361.51,756,3059.03,5391.11,9910.46
37,524,1278.48,815,2898.42,5062.32,9910.46
841,879,319.997,0,1.10716,3.28749,13.7391
817,286,11.4775,347,1337.38,1.63002,366.231
519,130,22.3319,0,6.17068,3.93569,11.3752
838,277,27.7135,455,1705.12,1.00296,168.985
935,934,408.015,0,6.39718,2.92513,13.618
39,509,1374.15,858,3059.79,5248.87,9910.46
855,907,815.62,0,2.2946,1.00307,24.2183
807,706,306,0,8.76502,9.25104,15.1717
960,887,475.492,0,4.50511,1.43751,23.7882
514,121,42.3036,0,6.63269,7.12754,10.6837
753,1023,50.6428,0,22.7437,45.4614,6.06237
730,268,10.1231,458,1690.33,2.13566,161.599
863,930,611.758,0,16.9039,1.63065,28.9975
805,715,681.506,0,2.67436,1.00332,4.50591
806,577,393.735,0,5.01964,1.09778,10.0335
905,775,628.556,0,7.59233,4.75609,43.0806
993,1023,408.187,0,4.67146,3.44065,30.6097
665,538,766.147,0,5.06553,1.00346,19.0039
706,275,14.5101,441,1630.99,3.83306,138.72
405,90,13.7483,0,10.9798,2.90046,10.5917
834,659,549.321,0,1.00356,2.2146,7.19472
698,979,62.3059,0,26.9928,25.3457,12.232
478,82,6.17502,0,11.1802,7.26024,8.6133
818,846,585.081,0,2.65134,60.1084,6.45929
826,788,454.838,0,1.00371,8.01586,14.9101
863,852,719.599,0,2.92729,1.00374,15.1813
883,1008,694.194,0,7.80301,5.02176,11.3848
876,799,539.661,0,2.0246,3.56807,9.51075
815,657,493.258,0,5.44556,7.06844,16.0248
859,278,12.9139,671,2380.58,2.62816,154.59
978,985,726.228,0,1.25706,1.90126,19.0126
856,939,467.393,0,1.78531,1.45168,13.3879
871,842,493.327,0,4.97784,1.00399,20.4325
775,690,475.91,0,6.51994,8.16395,13.5098
825,735,488.944,0,1.30329,3.86987,15.7424
428,113,9.17724,0,9.68611,1.00409,6.40416
868,955,341.224,0,1.57435,1.12868,21.184
875,258,34.743,889,3175.45,1.00416,277.467
782,632,564.703,0,4.71732,3.35164,12.6877
763,234,14.0077,293,1128.8,3.47454,185.123
540,107,53.0282,0,6.46315,1.91911,1.51893
38,486,1351.36,856,3063.66,5399.27,9910.46
833,742,476.061,0,1.00434,6.82201,8.02093
890,811,412.266,0,3.47503,1.72295,9.26276
410,73,5.25608,0,9.43122,1.36372,11.5988
798,734,596.162,0,3.7683,3.20504,18.5162
896,259,90.1711,450,1692.41,1.95436,92.6373
799,685,766.955,0,1.00452,4.55206,19.7209
400,72,10.795,0,6.94731,3.12004,7.26688
810,691,489.202,0,1.00459,9.26471,9.86678
635,169,7.95135,0,11.9185,188.556,13.2769
805,612,502.617,0,1.00466,1.00466,6.64249
844,788,682.441,0,4.16123,3.20583,6.88607
951,965,612.64,0,1.00473,1.51963,11.9198
791,390,27.0241,374,1414.17,7.0749,54.9978
707,632,412.44,0,2.38276,1.51973,14.6603
514,113,85.4638,0,1.00484,2.77652,6.01781
893,949,439.274,0,2.27813,6.12726,29.0434
836,735,507.283,0,1.45305,5.25866,16.7796
921,1022,511.884,0,3.01095,7.60408,16.6299
456,74,3.66991,0,5.80597,1.50639,10.1406
912,1023,451.351,0,1.00501,8.47134,22.9904
39,478,1340.25,859,3065.92,5306.92,9910.46
841,739,676.592,0,1.0419,1.00508,23.6208
